Worker ID,Skill Category,Skill Level,Years of Experience,Current Task Assigned,Shift Availability,Performance Rating,Certifications,Task Skills Required,Task Priority,Workload per Shift
879,Soldering,Medium,1,Cell Assembly,Morning,3.7,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
880,Robotics,High,6,Cell Assembly,Evening,4.8,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
881,Mechanical Assembly,Medium,4,Pack Assembly,Morning,3.5,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
882,Robotics,Medium,5,Module Assembly,Flexible,3,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
883,Robotics,Low,7,Cell Assembly,Flexible,4.4,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
884,Packaging,Medium,7,Cell Assembly,Night,4.4,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
885,Automation,Medium,4,Module Assembly,Evening,3.1,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
886,Packaging,Low,3,Module Assembly,Flexible,3.5,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
887,Mechanical Assembly,Medium,5,Cell Assembly,Evening,5,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
888,Quality Inspection,Low,1,Cell Assembly,Evening,3.4,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
889,BMS Integration,High,1,Module Assembly,Morning,3.5,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
890,Soldering,High,1,Pack Assembly,Evening,4.9,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
891,Welding,Low,7,Final Testing,Evening,4.9,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
892,Soldering,Low,6,Final Testing,Flexible,3.9,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
893,Robotics,Medium,2,Final Testing,Flexible,3.7,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
894,Quality Inspection,High,8,Module Assembly,Night,4,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
895,Mechanical Assembly,Low,8,Final Testing,Morning,3.5,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
896,Welding,Medium,3,Pack Assembly,Evening,4.9,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
897,BMS Integration,High,5,Module Assembly,Morning,4.9,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
898,Packaging,High,7,Final Testing,Night,3.3,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
899,Electrical Wiring,Medium,4,Pack Assembly,Night,4.3,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
900,Automation,Low,2,Pack Assembly,Evening,3.5,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
901,Packaging,Medium,7,Pack Assembly,Flexible,3.4,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
902,Robotics,Medium,4,Final Testing,Flexible,4.4,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
903,Electrical Wiring,Medium,1,Pack Assembly,Evening,4.9,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
904,Quality Inspection,High,8,Pack Assembly,Flexible,4.9,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
905,Mechanical Assembly,Medium,7,Module Assembly,Flexible,3.9,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
906,Mechanical Assembly,High,4,Final Testing,Night,4.3,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
907,Packaging,High,2,Cell Assembly,Flexible,3.9,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
908,Mechanical Assembly,Low,6,Final Testing,Morning,4,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
909,Welding,High,4,Final Testing,Evening,4.6,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
910,Automation,Medium,3,Pack Assembly,Flexible,3.7,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
911,Mechanical Assembly,Low,2,Cell Assembly,Night,4.7,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
912,Robotics,High,8,Pack Assembly,Evening,4,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
913,Welding,Medium,8,Pack Assembly,Morning,3.5,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
914,Electrical Wiring,Low,7,Final Testing,Morning,4.6,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
915,Welding,High,5,Cell Assembly,Night,3.4,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
916,Robotics,Medium,3,Pack Assembly,Evening,4.5,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
917,Quality Inspection,Medium,3,Pack Assembly,Morning,4.6,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
918,Robotics,Low,1,Pack Assembly,Evening,3.9,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
919,BMS Integration,High,8,Final Testing,Flexible,3.9,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
920,Electrical Wiring,High,1,Final Testing,Flexible,3.6,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
921,BMS Integration,Low,5,Pack Assembly,Flexible,3.8,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Secondary,14
922,Soldering,Medium,7,Pack Assembly,Evening,4,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
923,Welding,Low,1,Module Assembly,Morning,3.5,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
924,Quality Inspection,Low,6,Module Assembly,Evening,3.7,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
925,Mechanical Assembly,High,6,Pack Assembly,Flexible,3.8,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
926,Automation,High,4,Final Testing,Night,3.9,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
927,BMS Integration,Medium,7,Final Testing,Morning,3.2,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
928,Welding,Low,6,Pack Assembly,Night,4.7,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
929,Soldering,High,7,Final Testing,Night,3.4,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
930,Soldering,Medium,4,Final Testing,Evening,5,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
931,Robotics,Low,7,Final Testing,Evening,4.1,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
932,Robotics,High,4,Final Testing,Morning,3.5,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
933,Soldering,Low,4,Final Testing,Evening,4.1,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
934,Welding,Medium,6,Module Assembly,Night,4.6,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
935,BMS Integration,Medium,7,Final Testing,Evening,4.9,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
936,Electrical Wiring,Low,5,Cell Assembly,Flexible,4.3,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
937,Mechanical Assembly,Medium,6,Final Testing,Night,4.2,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
938,Packaging,Medium,6,Final Testing,Night,3.4,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
939,BMS Integration,High,1,Pack Assembly,Night,4.3,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
940,Packaging,Low,1,Module Assembly,Night,4.8,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
941,Quality Inspection,Medium,3,Final Testing,Morning,4.9,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
942,Quality Inspection,Low,5,Cell Assembly,Morning,4,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
943,Robotics,Medium,1,Pack Assembly,Evening,4.7,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
944,Soldering,Medium,7,Module Assembly,Flexible,3.9,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
945,Welding,High,8,Cell Assembly,Night,3.9,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
946,BMS Integration,Low,5,Cell Assembly,Morning,4.6,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
947,Mechanical Assembly,Medium,6,Pack Assembly,Night,3.4,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
948,Packaging,Medium,6,Pack Assembly,Evening,5,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
949,Quality Inspection,Medium,3,Module Assembly,Flexible,4.6,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
950,Packaging,Medium,8,Final Testing,Evening,3.1,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
951,Welding,Low,5,Cell Assembly,Evening,3.6,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
952,Mechanical Assembly,High,3,Final Testing,Flexible,3,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
953,Automation,Medium,7,Pack Assembly,Morning,3.9,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
954,Quality Inspection,Medium,4,Pack Assembly,Morning,3.7,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
955,BMS Integration,Medium,3,Final Testing,Night,3.2,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
956,Quality Inspection,Medium,2,Module Assembly,Flexible,4.1,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
957,Soldering,Low,3,Cell Assembly,Evening,4,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
958,Mechanical Assembly,Medium,5,Module Assembly,Morning,3.9,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
959,Automation,High,1,Module Assembly,Evening,3.8,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
960,Packaging,Medium,5,Final Testing,Evening,3.2,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
961,Electrical Wiring,High,3,Final Testing,Night,4.7,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
962,Quality Inspection,High,1,Final Testing,Morning,3.9,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
963,Soldering,Low,8,Final Testing,Morning,4.4,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
964,Quality Inspection,Medium,4,Pack Assembly,Morning,4.4,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
965,BMS Integration,Medium,5,Final Testing,Night,4.3,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
966,Mechanical Assembly,High,2,Final Testing,Night,4.3,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
967,Soldering,Medium,6,Cell Assembly,Night,3.3,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
968,Robotics,High,6,Final Testing,Night,4.6,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
969,Electrical Wiring,Low,3,Pack Assembly,Evening,4.8,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
970,Electrical Wiring,Low,3,Pack Assembly,Flexible,4.6,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
971,Packaging,High,2,Final Testing,Morning,3,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
972,Quality Inspection,High,8,Module Assembly,Morning,3.2,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
973,Welding,Medium,8,Pack Assembly,Flexible,4.7,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
974,Automation,Medium,4,Final Testing,Flexible,4.1,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
975,Robotics,Low,1,Final Testing,Night,4.3,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
976,Mechanical Assembly,High,5,Final Testing,Flexible,5,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
977,BMS Integration,High,4,Pack Assembly,Morning,3.5,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
978,Welding,Medium,7,Pack Assembly,Night,3.2,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
979,Electrical Wiring,Medium,3,Pack Assembly,Morning,3.3,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
980,Robotics,Medium,3,Pack Assembly,Flexible,3.2,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
981,Soldering,Medium,2,Module Assembly,Morning,4.6,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
982,Packaging,High,8,Final Testing,Morning,3.1,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
983,Mechanical Assembly,High,7,Cell Assembly,Evening,3,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
984,Robotics,Low,3,Pack Assembly,Morning,4,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
985,Electrical Wiring,High,8,Pack Assembly,Morning,4.9,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
986,Soldering,Low,8,Cell Assembly,Evening,3.4,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
987,Mechanical Assembly,Low,1,Pack Assembly,Morning,4.6,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
988,BMS Integration,Low,5,Cell Assembly,Flexible,3.5,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
989,Automation,Low,3,Cell Assembly,Morning,4.3,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
990,Robotics,Medium,8,Final Testing,Morning,4.4,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
991,Welding,Medium,2,Module Assembly,Evening,3.1,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
992,Quality Inspection,High,6,Final Testing,Morning,5,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
993,Robotics,Medium,2,Pack Assembly,Evening,4.1,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
994,Quality Inspection,High,8,Module Assembly,Evening,4.7,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
995,BMS Integration,Medium,7,Final Testing,Flexible,4.4,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
996,Quality Inspection,Low,2,Module Assembly,Evening,4.2,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
997,Robotics,Low,1,Pack Assembly,Flexible,3.4,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
998,Welding,Low,5,Pack Assembly,Flexible,3,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
999,Quality Inspection,Medium,6,Pack Assembly,Flexible,3.2,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
1000,Welding,Low,6,Cell Assembly,Evening,3.8,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
1001,Quality Inspection,Medium,5,Pack Assembly,Flexible,3.5,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
1002,Soldering,Low,5,Cell Assembly,Flexible,3.8,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
1003,BMS Integration,Low,6,Final Testing,Evening,3.4,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
1004,Mechanical Assembly,Medium,1,Module Assembly,Flexible,5,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
1005,Quality Inspection,Medium,4,Cell Assembly,Night,3.8,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
1006,Automation,Medium,6,Pack Assembly,Night,4.6,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
1007,Automation,Medium,4,Module Assembly,Flexible,4.2,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
1008,Soldering,Low,6,Final Testing,Morning,4.9,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
1009,Packaging,Low,5,Module Assembly,Morning,3.5,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
1010,Electrical Wiring,Low,2,Cell Assembly,Morning,3.8,Certified BMS Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
1011,BMS Integration,High,5,Cell Assembly,Flexible,3.5,Certified Welder,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
1012,Soldering,Medium,2,Module Assembly,Night,4.1,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
1013,Robotics,Low,2,Pack Assembly,Flexible,4.4,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
1014,Soldering,Medium,7,Cell Assembly,Morning,3.1,Electrical Engineer,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
1015,Mechanical Assembly,Medium,2,Module Assembly,Flexible,4.1,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
1016,Robotics,High,1,Pack Assembly,Flexible,4.3,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
1017,Mechanical Assembly,Low,2,Pack Assembly,Morning,3.1,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
1018,Quality Inspection,Medium,8,Final Testing,Evening,4.3,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
1019,BMS Integration,High,8,Pack Assembly,Evening,4.4,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
1020,BMS Integration,Low,7,Cell Assembly,Night,4.7,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
1021,BMS Integration,Medium,3,Final Testing,Night,3.3,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
1022,Robotics,Low,3,Final Testing,Flexible,3.3,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
1023,Welding,High,1,Final Testing,Night,4,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
1024,Automation,Low,5,Final Testing,Flexible,4.1,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
1025,BMS Integration,High,3,Module Assembly,Evening,4.3,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
1026,Packaging,Medium,2,Final Testing,Night,4.4,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
1027,Robotics,Medium,4,Pack Assembly,Night,4.4,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
1028,Welding,High,8,Final Testing,Night,4,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
1029,Welding,High,2,Module Assembly,Night,4.6,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
1030,Automation,Low,6,Module Assembly,Flexible,3.2,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
1031,Automation,Medium,4,Final Testing,Morning,3,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
1032,Electrical Wiring,High,6,Final Testing,Flexible,3.6,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
1033,Mechanical Assembly,Medium,8,Module Assembly,Night,3.6,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
1034,Quality Inspection,Low,8,Module Assembly,Night,4.9,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
1035,Welding,High,1,Module Assembly,Flexible,4.5,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
1036,BMS Integration,High,8,Pack Assembly,Evening,3.5,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
1037,Welding,High,1,Final Testing,Morning,3.9,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
1038,Quality Inspection,High,8,Pack Assembly,Evening,3.3,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
1039,Automation,High,3,Cell Assembly,Flexible,4.6,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
1040,Soldering,High,8,Pack Assembly,Morning,4.2,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
1041,Automation,Medium,7,Module Assembly,Night,3.1,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
1042,Automation,Medium,1,Final Testing,Night,4.3,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
1043,Welding,Low,6,Final Testing,Morning,4.9,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
1044,Welding,Medium,5,Final Testing,Evening,3.4,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
1045,Welding,Medium,1,Final Testing,Night,3.3,Certified BMS Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
1046,BMS Integration,High,1,Module Assembly,Night,4.4,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
1047,Soldering,Medium,6,Module Assembly,Flexible,4.6,Certified Welder,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
1048,Robotics,Medium,5,Cell Assembly,Night,4.6,Mechanical Technician,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
1049,Quality Inspection,High,8,Pack Assembly,Flexible,4.7,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
1050,Welding,Low,5,Final Testing,Evening,3.8,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
1051,Automation,Low,5,Cell Assembly,Flexible,3.2,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
1052,Mechanical Assembly,Medium,6,Final Testing,Evening,3.4,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,12
1053,Soldering,Medium,1,Module Assembly,Morning,4.4,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
1054,Welding,High,3,Module Assembly,Morning,3.3,Certified BMS Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
1055,Welding,Low,8,Module Assembly,Night,3.4,Electrical Engineer,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
1056,Quality Inspection,High,6,Cell Assembly,Flexible,4.8,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
1057,Mechanical Assembly,Low,5,Final Testing,Flexible,4.8,Quality Control Certified,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
1058,Robotics,High,2,Pack Assembly,Evening,3.5,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
1059,Soldering,Low,8,Module Assembly,Morning,3.1,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
1060,Robotics,Low,4,Final Testing,Flexible,4.1,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,14
1061,Welding,Medium,6,Pack Assembly,Morning,4.8,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,15
1062,Robotics,Medium,1,Pack Assembly,Evening,4.5,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
1063,Soldering,Medium,1,Pack Assembly,Evening,4.1,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
1064,BMS Integration,Medium,7,Pack Assembly,Flexible,3.9,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
1065,Electrical Wiring,Low,3,Pack Assembly,Evening,4.8,Mechanical Technician,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
1066,Mechanical Assembly,Low,2,Module Assembly,Flexible,4.3,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
1067,Robotics,High,1,Module Assembly,Night,4.9,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
1068,Robotics,Medium,7,Final Testing,Night,4.4,Quality Control Certified,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
1069,Packaging,Medium,8,Module Assembly,Flexible,3.4,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
1070,Robotics,High,8,Module Assembly,Morning,4.1,Mechanical Technician,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
1071,Packaging,Low,8,Final Testing,Night,3.1,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
1072,Packaging,High,6,Final Testing,Night,3.8,Mechanical Technician,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
