Worker ID,Skill Category,Skill Level,Years of Experience,Current Task Assigned,Shift Availability,Performance Rating,Certifications
1722,Welding,Low,5,Cell Assembly,Night,4.4,None
1723,Mechanical Assembly,High,7,Cell Assembly,Morning,4.8,Certified BMS Engineer
1724,Mechanical Assembly,Medium,7,Module Assembly,Morning,3.4,Certified BMS Engineer
1725,Electrical Wiring,Medium,8,Cell Assembly,Evening,3.6,Certified BMS Engineer
1726,Electrical Wiring,Medium,7,Cell Assembly,Flexible,4.1,Electrical Engineer
1727,Electrical Wiring,High,2,Final Testing,Morning,3.5,Certified BMS Engineer
1728,Quality Inspection,Low,3,Final Testing,Evening,4,None
1729,Mechanical Assembly,Low,7,Cell Assembly,Evening,4.1,Certified BMS Engineer
1730,Mechanical Assembly,Low,8,Pack Assembly,Evening,4.2,Electrical Engineer
1731,Quality Inspection,High,3,Pack Assembly,Flexible,4,Mechanical Technician
1732,BMS Integration,High,6,Module Assembly,Night,3.2,Electrical Engineer
1733,Packaging,High,8,Pack Assembly,Morning,4,Certified Welder
1734,Packaging,Medium,5,Cell Assembly,Evening,3.2,None
1735,BMS Integration,Low,4,Cell Assembly,Night,4.5,Certified Welder
1736,Welding,High,5,Final Testing,Night,3.6,Quality Control Certified
1737,BMS Integration,Low,8,Pack Assembly,Night,3.7,Certified BMS Engineer
1738,Automation,Medium,4,Final Testing,Evening,4.3,Certified BMS Engineer
1739,BMS Integration,Low,6,Pack Assembly,Evening,3.8,Certified BMS Engineer
1740,Electrical Wiring,High,6,Cell Assembly,Flexible,3,Certified BMS Engineer
1741,Packaging,Medium,8,Final Testing,Evening,4.8,Mechanical Technician
1742,BMS Integration,Low,1,Pack Assembly,Morning,4.9,None
1743,Quality Inspection,Low,7,Module Assembly,Night,3.3,Certified BMS Engineer
1744,Soldering,High,5,Final Testing,Morning,3,None
1745,Automation,High,1,Cell Assembly,Flexible,3.6,Certified Welder
1746,Automation,High,7,Pack Assembly,Evening,4.8,None
1747,BMS Integration,Medium,7,Cell Assembly,Evening,4.7,Certified BMS Engineer
1748,Welding,High,8,Final Testing,Flexible,4.8,Electrical Engineer
1749,BMS Integration,Medium,4,Final Testing,Flexible,3.5,None
1750,Welding,High,6,Pack Assembly,Flexible,3.1,None
1751,Soldering,Medium,3,Cell Assembly,Evening,4.5,Certified BMS Engineer
1752,Robotics,High,6,Pack Assembly,Flexible,4.7,Mechanical Technician
1753,BMS Integration,Low,1,Pack Assembly,Night,4,Mechanical Technician
1754,Robotics,Medium,5,Final Testing,Flexible,4,Quality Control Certified
1755,Robotics,Medium,6,Cell Assembly,Evening,4.3,Quality Control Certified
1756,Packaging,High,5,Module Assembly,Night,4.9,Certified BMS Engineer
1757,BMS Integration,Medium,1,Cell Assembly,Morning,4,Mechanical Technician
1758,Robotics,High,7,Cell Assembly,Flexible,4.3,Certified BMS Engineer
1759,Mechanical Assembly,High,2,Pack Assembly,Night,4.5,Quality Control Certified
1760,Packaging,Medium,4,Pack Assembly,Night,3.1,Certified Welder
1761,Quality Inspection,High,3,Pack Assembly,Morning,4.4,Certified Welder
1762,Soldering,High,5,Module Assembly,Flexible,3.6,None
1763,Electrical Wiring,Low,7,Cell Assembly,Morning,4.4,None
1764,Robotics,High,4,Pack Assembly,Evening,4.3,Certified BMS Engineer
1765,Welding,Low,6,Final Testing,Night,4.1,Certified Welder
1766,BMS Integration,High,8,Module Assembly,Evening,4,Certified BMS Engineer
1767,Mechanical Assembly,Low,5,Final Testing,Evening,3.2,None
1768,Soldering,Low,6,Final Testing,Morning,4.1,Electrical Engineer
1769,Quality Inspection,High,4,Pack Assembly,Night,4.9,Quality Control Certified
1770,Electrical Wiring,Low,6,Pack Assembly,Flexible,3.6,Certified BMS Engineer
1771,Quality Inspection,Medium,3,Cell Assembly,Evening,4.6,Certified BMS Engineer
1772,Robotics,High,8,Pack Assembly,Flexible,4.1,Certified BMS Engineer
1773,Robotics,Medium,6,Cell Assembly,Evening,3.1,Mechanical Technician
1774,Packaging,High,7,Pack Assembly,Flexible,3.5,Mechanical Technician
1775,Electrical Wiring,High,4,Pack Assembly,Night,4.6,Mechanical Technician
1776,Packaging,Low,6,Cell Assembly,Night,4.6,None
1777,BMS Integration,Medium,5,Final Testing,Morning,4.2,Quality Control Certified
1778,Welding,Medium,5,Final Testing,Evening,3.2,Mechanical Technician
1779,Automation,Medium,3,Pack Assembly,Evening,4.8,Certified BMS Engineer
1780,Packaging,Medium,4,Cell Assembly,Evening,3.2,None
1781,Robotics,Low,6,Pack Assembly,Evening,4.6,Mechanical Technician
1782,Robotics,Medium,6,Module Assembly,Night,3.5,Mechanical Technician
1783,Packaging,Medium,3,Cell Assembly,Morning,4.2,None
1784,Robotics,High,8,Final Testing,Flexible,3.7,Electrical Engineer
1785,Quality Inspection,Low,5,Cell Assembly,Evening,5,Electrical Engineer
1786,Packaging,High,7,Final Testing,Evening,4.8,Certified Welder
1787,Electrical Wiring,Low,3,Pack Assembly,Flexible,3.6,Mechanical Technician
1788,Automation,Low,5,Module Assembly,Flexible,4.8,None
1789,Soldering,Medium,8,Final Testing,Evening,4.7,Electrical Engineer
1790,Quality Inspection,Medium,8,Pack Assembly,Evening,4.6,Certified Welder
1791,Quality Inspection,Low,3,Module Assembly,Night,4.1,Electrical Engineer
1792,Electrical Wiring,Medium,1,Cell Assembly,Evening,3.4,Electrical Engineer
1793,Packaging,Low,2,Module Assembly,Evening,4.9,Certified Welder
1794,Soldering,High,8,Pack Assembly,Morning,4.2,Mechanical Technician
1795,Automation,Low,2,Module Assembly,Evening,3.6,Certified BMS Engineer
1796,Robotics,Medium,6,Module Assembly,Evening,4.8,Certified Welder
1797,Packaging,Low,3,Final Testing,Evening,4.9,Electrical Engineer
1798,BMS Integration,High,4,Cell Assembly,Morning,4.1,Electrical Engineer
1799,Packaging,Low,7,Cell Assembly,Night,4.5,Certified Welder
1800,Robotics,Medium,6,Cell Assembly,Flexible,4.4,Electrical Engineer
1801,Robotics,Medium,5,Module Assembly,Night,4,Certified Welder
1802,Mechanical Assembly,High,8,Pack Assembly,Night,4.9,Electrical Engineer
1803,Automation,Medium,6,Module Assembly,Night,3.6,Quality Control Certified
1804,Automation,Medium,7,Cell Assembly,Night,3.7,Electrical Engineer
1805,Quality Inspection,Medium,8,Final Testing,Evening,3.3,Mechanical Technician
1806,Automation,Medium,8,Final Testing,Evening,4,Quality Control Certified
1807,Quality Inspection,Low,2,Pack Assembly,Night,3.8,None
1808,Quality Inspection,Low,8,Final Testing,Night,4.4,Electrical Engineer
1809,Electrical Wiring,Medium,5,Cell Assembly,Morning,3.3,Certified BMS Engineer
1810,Electrical Wiring,Low,4,Pack Assembly,Night,4,Electrical Engineer
1811,BMS Integration,Low,2,Final Testing,Flexible,3.3,Certified Welder
1812,Quality Inspection,High,2,Pack Assembly,Night,4,Certified BMS Engineer
1813,Electrical Wiring,Medium,5,Pack Assembly,Flexible,3.8,Electrical Engineer
1814,Soldering,Medium,2,Module Assembly,Flexible,4.2,Electrical Engineer
1815,Packaging,High,5,Final Testing,Night,4.4,Electrical Engineer
1816,Mechanical Assembly,High,3,Pack Assembly,Night,3.6,Certified BMS Engineer
1817,BMS Integration,High,4,Final Testing,Evening,4.8,Electrical Engineer
1818,Packaging,Low,6,Final Testing,Evening,4.6,Mechanical Technician
1819,Electrical Wiring,Low,3,Final Testing,Morning,5,Certified BMS Engineer
1820,Packaging,Low,8,Final Testing,Evening,4.4,None
1821,BMS Integration,Low,2,Cell Assembly,Morning,5,Certified Welder
1822,BMS Integration,Low,2,Cell Assembly,Flexible,4.2,Certified BMS Engineer
1823,Robotics,Medium,4,Cell Assembly,Evening,3.9,Electrical Engineer
1824,Quality Inspection,Medium,7,Cell Assembly,Morning,4.2,Mechanical Technician
1825,BMS Integration,High,3,Pack Assembly,Morning,3.9,Electrical Engineer
1826,Robotics,Medium,6,Module Assembly,Night,3.5,Certified Welder
1827,Electrical Wiring,Medium,2,Pack Assembly,Night,3.5,None
1828,Mechanical Assembly,High,4,Module Assembly,Evening,3.5,Mechanical Technician
1829,Quality Inspection,Medium,6,Module Assembly,Night,5,Mechanical Technician
1830,Automation,Medium,3,Cell Assembly,Evening,3.3,Quality Control Certified
1831,BMS Integration,High,7,Pack Assembly,Night,4.3,Certified BMS Engineer
1832,Mechanical Assembly,Low,4,Module Assembly,Flexible,3.3,Quality Control Certified
1833,Mechanical Assembly,High,8,Pack Assembly,Morning,4.4,Certified BMS Engineer
1834,Electrical Wiring,Medium,8,Cell Assembly,Evening,4.4,Electrical Engineer
1835,Robotics,Low,4,Cell Assembly,Flexible,4.1,Electrical Engineer
1836,Mechanical Assembly,Medium,6,Pack Assembly,Night,3.2,Electrical Engineer
1837,Electrical Wiring,Medium,7,Cell Assembly,Morning,4.9,None
1838,Mechanical Assembly,Low,6,Cell Assembly,Evening,4.3,Quality Control Certified
1839,Automation,Medium,2,Pack Assembly,Morning,4.8,Mechanical Technician
1840,Electrical Wiring,Low,8,Final Testing,Evening,3.9,Certified BMS Engineer
1841,Automation,Medium,4,Final Testing,Flexible,3.5,None
1842,Quality Inspection,Low,3,Final Testing,Night,3.2,None
1843,Soldering,Low,1,Final Testing,Night,4.3,Mechanical Technician
1844,Electrical Wiring,Low,7,Cell Assembly,Flexible,4.8,Certified BMS Engineer
1845,Robotics,Medium,2,Pack Assembly,Flexible,4.7,Certified Welder
1846,BMS Integration,Medium,8,Module Assembly,Evening,4.4,Electrical Engineer
1847,Electrical Wiring,Medium,4,Pack Assembly,Flexible,4.7,Mechanical Technician
1848,Welding,Medium,6,Module Assembly,Flexible,3.9,Mechanical Technician
1849,Packaging,High,4,Module Assembly,Evening,4.7,None
1850,Automation,Medium,1,Cell Assembly,Evening,4.9,Certified BMS Engineer
1851,Automation,High,6,Pack Assembly,Morning,3.3,Mechanical Technician
1852,Packaging,Low,1,Cell Assembly,Flexible,3.3,Electrical Engineer
1853,Soldering,Low,1,Module Assembly,Evening,4.2,Quality Control Certified
1854,Quality Inspection,Low,7,Final Testing,Night,4.8,Quality Control Certified
1855,Soldering,High,2,Cell Assembly,Morning,3.2,Certified BMS Engineer
1856,Mechanical Assembly,Low,4,Pack Assembly,Flexible,3.8,None
1857,Soldering,Medium,4,Module Assembly,Flexible,4.9,Certified BMS Engineer
1858,Robotics,High,5,Pack Assembly,Flexible,4,Mechanical Technician
1859,Quality Inspection,Low,2,Final Testing,Evening,4.4,Certified Welder
1860,Soldering,Medium,6,Cell Assembly,Night,3.3,Certified Welder
1861,Mechanical Assembly,High,4,Module Assembly,Night,3,None
1862,Soldering,Low,4,Module Assembly,Morning,3.8,Mechanical Technician
1863,Mechanical Assembly,Medium,2,Final Testing,Flexible,3.5,Certified BMS Engineer
1864,Robotics,High,6,Module Assembly,Flexible,3.9,Quality Control Certified
1865,BMS Integration,Low,7,Final Testing,Night,4.2,Electrical Engineer
1866,Robotics,Medium,6,Module Assembly,Morning,3.4,Electrical Engineer
1867,BMS Integration,Low,6,Cell Assembly,Flexible,3.7,Electrical Engineer
1868,Quality Inspection,Medium,1,Module Assembly,Night,3.5,Electrical Engineer
1869,Soldering,High,4,Final Testing,Night,4.2,Certified BMS Engineer
1870,Robotics,Medium,5,Pack Assembly,Flexible,3.2,Mechanical Technician
1871,Welding,High,7,Cell Assembly,Night,3.4,None
1872,Quality Inspection,Medium,6,Final Testing,Night,4,Mechanical Technician
1873,Robotics,Low,6,Pack Assembly,Evening,3,Quality Control Certified
1874,Mechanical Assembly,Low,5,Final Testing,Morning,4,Electrical Engineer
1875,BMS Integration,High,6,Module Assembly,Flexible,4.8,Mechanical Technician
1876,Automation,Low,3,Final Testing,Flexible,3.5,Quality Control Certified
1877,Packaging,High,2,Final Testing,Morning,3.6,Mechanical Technician
1878,Welding,High,5,Module Assembly,Evening,3.4,None
1879,Packaging,Low,4,Module Assembly,Morning,4.5,Certified BMS Engineer
1880,Electrical Wiring,Medium,3,Module Assembly,Night,3.1,Quality Control Certified
1881,Welding,Low,5,Final Testing,Flexible,4.3,None
1882,Mechanical Assembly,Medium,8,Module Assembly,Evening,3.6,Electrical Engineer
1883,Automation,Medium,3,Cell Assembly,Morning,4.1,Electrical Engineer
1884,Quality Inspection,Medium,7,Pack Assembly,Evening,4.4,Electrical Engineer
1885,Packaging,High,4,Module Assembly,Flexible,4.1,Mechanical Technician
1886,Quality Inspection,Medium,5,Module Assembly,Evening,3.2,None
1887,Electrical Wiring,Medium,1,Pack Assembly,Morning,4.9,Certified Welder
1888,Soldering,Medium,1,Cell Assembly,Morning,4.7,Certified BMS Engineer
1889,BMS Integration,Low,2,Module Assembly,Night,3.5,None
1890,BMS Integration,Medium,5,Final Testing,Evening,3.4,Certified BMS Engineer
1891,Welding,Low,7,Final Testing,Night,3.1,Quality Control Certified
1892,Welding,High,4,Pack Assembly,Morning,4.9,Certified Welder
1893,Quality Inspection,High,6,Pack Assembly,Night,3.4,Certified Welder
1894,Quality Inspection,Medium,4,Pack Assembly,Evening,3.2,Mechanical Technician
1895,Automation,Low,3,Cell Assembly,Morning,4.9,Certified Welder
1896,Robotics,High,7,Module Assembly,Morning,3,Electrical Engineer
1897,Electrical Wiring,High,3,Final Testing,Flexible,3.3,Electrical Engineer
1898,Robotics,High,5,Final Testing,Flexible,4.4,None
1899,Electrical Wiring,Low,4,Pack Assembly,Flexible,3.7,Electrical Engineer
1900,Robotics,Medium,1,Cell Assembly,Night,4.8,Quality Control Certified
1901,Electrical Wiring,Medium,1,Module Assembly,Flexible,3.8,Mechanical Technician
1902,BMS Integration,Low,4,Final Testing,Night,4.4,Certified BMS Engineer
1903,Quality Inspection,Medium,5,Final Testing,Night,4.7,None
1904,Automation,High,3,Cell Assembly,Flexible,3.2,Electrical Engineer
1905,Quality Inspection,Low,8,Final Testing,Morning,3.6,Quality Control Certified
1906,Mechanical Assembly,Medium,7,Module Assembly,Morning,4.3,None
1907,Mechanical Assembly,High,1,Module Assembly,Morning,4,Certified Welder
1908,Automation,Medium,6,Cell Assembly,Evening,4.2,Quality Control Certified
1909,Welding,Low,8,Module Assembly,Night,3.5,Electrical Engineer
1910,BMS Integration,Low,6,Final Testing,Morning,3.8,Mechanical Technician
1911,BMS Integration,Medium,1,Module Assembly,Evening,4.1,Mechanical Technician
1912,Automation,Low,3,Module Assembly,Morning,4.2,Electrical Engineer
1913,Quality Inspection,Low,6,Pack Assembly,Morning,5,Certified BMS Engineer
1914,Welding,Low,7,Final Testing,Flexible,3.4,Mechanical Technician
1915,Electrical Wiring,High,3,Cell Assembly,Evening,4.7,Certified BMS Engineer
1916,Soldering,Low,3,Final Testing,Flexible,3.5,Quality Control Certified
1917,Electrical Wiring,High,8,Final Testing,Evening,5,None
1918,Electrical Wiring,High,4,Cell Assembly,Night,3.2,Quality Control Certified
1919,BMS Integration,Low,3,Final Testing,Evening,3.7,Electrical Engineer
1920,BMS Integration,High,2,Pack Assembly,Flexible,4.2,Certified Welder
1921,Soldering,High,8,Pack Assembly,Night,3.3,Electrical Engineer
1922,BMS Integration,Medium,8,Module Assembly,Evening,4.2,Certified Welder
1923,Packaging,High,6,Final Testing,Night,4.6,None
1924,Soldering,Medium,8,Pack Assembly,Night,4.2,Electrical Engineer
1925,Robotics,Medium,6,Cell Assembly,Flexible,4,Certified BMS Engineer
1926,Automation,Low,7,Final Testing,Evening,3.4,Certified Welder
1927,Packaging,Low,4,Module Assembly,Flexible,4.5,Certified Welder
1928,BMS Integration,Medium,7,Final Testing,Evening,4.3,Mechanical Technician
1929,Robotics,Low,6,Pack Assembly,Morning,4.8,Certified BMS Engineer
1930,Packaging,High,1,Final Testing,Flexible,4.1,Certified BMS Engineer
1931,Quality Inspection,Low,3,Pack Assembly,Morning,3.1,Certified BMS Engineer
1932,Quality Inspection,Medium,6,Pack Assembly,Morning,4.1,None
1933,Mechanical Assembly,Medium,5,Module Assembly,Flexible,4.7,Certified Welder
1934,Robotics,Low,4,Pack Assembly,Evening,3.6,None
1935,Quality Inspection,High,6,Module Assembly,Flexible,3.2,Certified Welder
1936,Packaging,Medium,2,Cell Assembly,Flexible,4.6,Quality Control Certified
1937,Automation,High,4,Cell Assembly,Night,3.7,None
1938,Electrical Wiring,Low,2,Cell Assembly,Morning,4.8,Certified Welder
1939,Automation,Medium,6,Final Testing,Night,3.9,Electrical Engineer
1940,BMS Integration,Medium,6,Module Assembly,Flexible,4.1,Mechanical Technician
1941,Automation,Low,7,Cell Assembly,Morning,3,Certified BMS Engineer
1942,Quality Inspection,Medium,6,Pack Assembly,Evening,4.2,None
1943,BMS Integration,High,5,Final Testing,Flexible,3.1,Certified Welder
1944,Soldering,Medium,6,Final Testing,Evening,3.3,Electrical Engineer
1945,Welding,High,5,Pack Assembly,Morning,3.8,None
1946,Mechanical Assembly,Low,4,Module Assembly,Morning,3.2,Certified BMS Engineer
1947,Mechanical Assembly,Medium,1,Pack Assembly,Evening,3.7,Electrical Engineer
1948,Mechanical Assembly,Medium,5,Pack Assembly,Evening,4.7,Mechanical Technician
1949,Robotics,High,2,Module Assembly,Evening,3.1,Certified Welder
1950,Quality Inspection,Low,8,Module Assembly,Flexible,3,Certified Welder
1951,BMS Integration,Medium,6,Pack Assembly,Night,5,None
1952,Electrical Wiring,Low,5,Module Assembly,Morning,3.5,Electrical Engineer
1953,BMS Integration,Medium,7,Cell Assembly,Flexible,4.3,Quality Control Certified
1954,BMS Integration,Low,5,Final Testing,Night,3.3,None
1955,Mechanical Assembly,Low,8,Cell Assembly,Flexible,3.9,Certified Welder
1956,Quality Inspection,High,4,Module Assembly,Morning,4.8,None
1957,BMS Integration,Low,4,Module Assembly,Evening,4.5,Mechanical Technician
1958,Packaging,Medium,8,Pack Assembly,Evening,4.5,Mechanical Technician
1959,Soldering,High,2,Cell Assembly,Morning,4.8,Certified BMS Engineer
1960,Automation,High,4,Cell Assembly,Night,4,None
1961,Automation,Low,7,Final Testing,Evening,4.9,None
1962,Electrical Wiring,Low,3,Cell Assembly,Night,4.8,Electrical Engineer
1963,Packaging,Low,5,Final Testing,Morning,3.7,Certified Welder
1964,Automation,Medium,4,Cell Assembly,Evening,3.2,Mechanical Technician
1965,Mechanical Assembly,Low,1,Cell Assembly,Night,3.6,Certified BMS Engineer
1966,Electrical Wiring,Low,8,Cell Assembly,Night,5,None
1967,Quality Inspection,Medium,4,Module Assembly,Flexible,3.9,None
1968,Mechanical Assembly,Low,6,Module Assembly,Morning,4.4,Certified BMS Engineer
1969,Automation,Low,2,Module Assembly,Evening,4.3,None
1970,Soldering,Low,4,Pack Assembly,Flexible,3.7,None
1971,Quality Inspection,Medium,5,Cell Assembly,Flexible,4.2,Certified Welder
1972,Soldering,Medium,5,Pack Assembly,Evening,4.6,Quality Control Certified
1973,Mechanical Assembly,Low,3,Cell Assembly,Evening,4,None
1974,Automation,Low,8,Cell Assembly,Night,4.5,Certified BMS Engineer
1975,Quality Inspection,Low,7,Cell Assembly,Flexible,3.1,Certified Welder
1976,BMS Integration,Low,2,Final Testing,Flexible,4,Certified Welder
1977,Automation,Medium,3,Final Testing,Morning,3.2,None
1978,Welding,Low,4,Final Testing,Morning,3.9,Electrical Engineer
1979,Electrical Wiring,Low,8,Pack Assembly,Evening,3.4,Quality Control Certified
1980,Mechanical Assembly,Low,2,Final Testing,Morning,3,Mechanical Technician
1981,Robotics,Low,2,Final Testing,Evening,3.5,None
1982,Quality Inspection,Low,7,Module Assembly,Evening,4.6,Certified BMS Engineer
1983,Robotics,High,7,Module Assembly,Morning,3,Certified BMS Engineer
1984,BMS Integration,Medium,2,Module Assembly,Flexible,3.2,Mechanical Technician
1985,Quality Inspection,Medium,4,Module Assembly,Evening,3.8,Certified Welder
1986,Soldering,High,4,Cell Assembly,Flexible,4,Quality Control Certified
1987,Quality Inspection,Medium,2,Cell Assembly,Morning,4,Mechanical Technician
1988,BMS Integration,Medium,6,Final Testing,Morning,3.3,None
1989,Robotics,Low,1,Final Testing,Night,4.4,Certified BMS Engineer
1990,Soldering,Low,1,Cell Assembly,Night,3.4,Quality Control Certified
1991,Robotics,Low,1,Pack Assembly,Night,4.4,Quality Control Certified
1992,Automation,High,4,Pack Assembly,Morning,3.4,None
1993,BMS Integration,Medium,5,Cell Assembly,Night,4.4,Quality Control Certified
1994,Automation,Medium,7,Pack Assembly,Night,3.6,Certified BMS Engineer
1995,Welding,Low,8,Module Assembly,Flexible,3.6,Electrical Engineer
1996,Electrical Wiring,High,4,Cell Assembly,Evening,4.1,Quality Control Certified
1997,Robotics,Low,3,Cell Assembly,Night,4.2,None
1998,Quality Inspection,Medium,6,Cell Assembly,Evening,4.1,Electrical Engineer
1999,Mechanical Assembly,Low,2,Cell Assembly,Morning,3.5,None
2000,Automation,Medium,4,Module Assembly,Flexible,3.3,None
2001,Robotics,Medium,8,Cell Assembly,Flexible,4.7,Mechanical Technician
2002,Electrical Wiring,Medium,3,Pack Assembly,Flexible,4,None
2003,Automation,Low,6,Module Assembly,Morning,4.9,Certified Welder
2004,BMS Integration,Medium,8,Cell Assembly,Night,4.7,Electrical Engineer
2005,Welding,High,4,Module Assembly,Flexible,4.2,None
2006,Automation,Medium,6,Final Testing,Morning,4.4,Electrical Engineer
2007,Robotics,High,4,Final Testing,Evening,4.5,Certified Welder
2008,Robotics,High,3,Cell Assembly,Night,3.5,Quality Control Certified
2009,Quality Inspection,High,2,Pack Assembly,Flexible,4.2,Mechanical Technician
2010,Welding,Low,3,Pack Assembly,Flexible,3.1,Certified BMS Engineer
2011,Electrical Wiring,Low,4,Final Testing,Night,3.6,Quality Control Certified
2012,Mechanical Assembly,High,4,Module Assembly,Night,4.4,Certified Welder
2013,Automation,Low,5,Cell Assembly,Morning,3.2,Certified Welder
2014,Mechanical Assembly,High,2,Cell Assembly,Flexible,4.7,Mechanical Technician
2015,Mechanical Assembly,High,4,Module Assembly,Night,4.4,Electrical Engineer
2016,Robotics,High,7,Cell Assembly,Night,3.4,Mechanical Technician
2017,Electrical Wiring,Medium,4,Final Testing,Flexible,3.8,Electrical Engineer
2018,BMS Integration,Low,3,Cell Assembly,Flexible,4.3,Quality Control Certified
2019,Electrical Wiring,High,8,Cell Assembly,Morning,3.6,Electrical Engineer
2020,Soldering,Low,8,Pack Assembly,Evening,4,Electrical Engineer
2021,Quality Inspection,Medium,1,Pack Assembly,Flexible,3.3,None
2022,Automation,Low,4,Pack Assembly,Flexible,3.1,Certified BMS Engineer
2023,Welding,Low,7,Cell Assembly,Evening,3.9,Certified BMS Engineer
2024,BMS Integration,Medium,5,Pack Assembly,Night,3.6,Certified Welder
2025,Automation,High,2,Module Assembly,Morning,3.5,Quality Control Certified
2026,Electrical Wiring,Low,7,Module Assembly,Flexible,4.9,None
2027,Packaging,High,5,Final Testing,Flexible,4.1,None
2028,Automation,High,3,Module Assembly,Flexible,4.6,None
2029,Mechanical Assembly,High,5,Cell Assembly,Morning,3.7,None
2030,Welding,Medium,4,Module Assembly,Flexible,4.1,Electrical Engineer
2031,Robotics,Low,8,Pack Assembly,Morning,4.5,None
2032,Packaging,High,5,Final Testing,Night,4.9,Quality Control Certified
2033,Automation,Low,8,Final Testing,Night,4.2,Mechanical Technician
2034,Soldering,High,4,Module Assembly,Night,4.3,Quality Control Certified
2035,Robotics,Low,1,Pack Assembly,Flexible,4.6,Quality Control Certified
2036,Robotics,Low,2,Final Testing,Night,4.7,Certified BMS Engineer
2037,Mechanical Assembly,Medium,6,Module Assembly,Evening,3.4,Electrical Engineer
2038,BMS Integration,Low,8,Cell Assembly,Morning,4.8,Certified Welder
2039,Soldering,Medium,1,Cell Assembly,Evening,3.9,Electrical Engineer
2040,Quality Inspection,Low,7,Module Assembly,Night,4.1,Certified BMS Engineer
2041,Quality Inspection,High,4,Pack Assembly,Flexible,4.8,Electrical Engineer
2042,Robotics,High,2,Final Testing,Flexible,4.2,Certified Welder
2043,Mechanical Assembly,Low,3,Final Testing,Flexible,4.6,Mechanical Technician
2044,Packaging,Medium,4,Final Testing,Evening,4.7,Certified BMS Engineer
2045,Automation,High,7,Cell Assembly,Flexible,4.2,Electrical Engineer
2046,Automation,High,3,Final Testing,Night,3,Certified Welder
2047,Mechanical Assembly,High,4,Pack Assembly,Night,3.9,Certified Welder
2048,Electrical Wiring,High,6,Cell Assembly,Flexible,3.6,Mechanical Technician
2049,Electrical Wiring,Medium,6,Cell Assembly,Flexible,4.8,Certified BMS Engineer
2050,Electrical Wiring,Medium,6,Pack Assembly,Flexible,4.1,Certified BMS Engineer
2051,Automation,Medium,8,Cell Assembly,Night,3.5,Quality Control Certified
2052,Packaging,Low,1,Module Assembly,Evening,4,Electrical Engineer
2053,Welding,High,8,Pack Assembly,Flexible,4.7,Electrical Engineer
2054,Quality Inspection,Low,3,Cell Assembly,Morning,3.6,Certified BMS Engineer
2055,Robotics,Low,7,Final Testing,Flexible,3.4,Certified BMS Engineer
2056,Automation,Low,5,Final Testing,Morning,4.4,Electrical Engineer
2057,Mechanical Assembly,Low,4,Module Assembly,Flexible,4.6,Certified Welder
2058,Packaging,Medium,4,Module Assembly,Flexible,3.1,Electrical Engineer
2059,Soldering,Medium,3,Module Assembly,Flexible,4.2,Mechanical Technician
2060,Automation,Low,3,Final Testing,Night,3.5,Quality Control Certified
2061,Packaging,High,5,Cell Assembly,Night,4.4,None
2062,Packaging,High,8,Cell Assembly,Flexible,4.3,Certified BMS Engineer
2063,Welding,Low,7,Cell Assembly,Morning,4,Electrical Engineer
2064,Robotics,Low,2,Pack Assembly,Flexible,4.4,Electrical Engineer
2065,Robotics,High,8,Pack Assembly,Flexible,4.1,Certified Welder
2066,Mechanical Assembly,Medium,6,Cell Assembly,Morning,4.2,Certified BMS Engineer
2067,Robotics,Low,7,Final Testing,Flexible,4.7,Electrical Engineer
2068,Packaging,High,2,Module Assembly,Morning,4.7,Certified BMS Engineer
2069,Robotics,Medium,4,Pack Assembly,Flexible,4.2,Mechanical Technician
2070,Soldering,Medium,6,Pack Assembly,Flexible,4.2,Certified BMS Engineer
2071,Quality Inspection,Medium,3,Cell Assembly,Morning,3,Electrical Engineer
2072,Soldering,High,3,Final Testing,Morning,4.7,Electrical Engineer
2073,Automation,Low,2,Module Assembly,Flexible,4.6,Electrical Engineer
2074,BMS Integration,Medium,8,Pack Assembly,Flexible,3.6,Certified BMS Engineer
2075,Soldering,Low,5,Cell Assembly,Flexible,4.5,Certified BMS Engineer
2076,Electrical Wiring,Medium,7,Cell Assembly,Flexible,4.3,Electrical Engineer
2077,Automation,High,5,Module Assembly,Night,3.5,Certified Welder
2078,Packaging,High,8,Module Assembly,Evening,4.1,Mechanical Technician
2079,Electrical Wiring,Medium,3,Cell Assembly,Morning,3.8,Mechanical Technician
2080,Automation,Medium,5,Pack Assembly,Evening,4.2,Certified Welder
2081,Quality Inspection,Medium,8,Final Testing,Night,3.8,Electrical Engineer
2082,Mechanical Assembly,Medium,1,Module Assembly,Morning,4.5,Quality Control Certified
2083,Robotics,Medium,8,Final Testing,Evening,3.2,Electrical Engineer
2084,Electrical Wiring,Low,7,Final Testing,Evening,4.1,None
2085,BMS Integration,High,2,Final Testing,Flexible,3.9,Electrical Engineer
2086,Welding,Medium,3,Module Assembly,Evening,4.4,None
2087,Soldering,High,7,Pack Assembly,Morning,4.2,Mechanical Technician
2088,Soldering,Medium,3,Final Testing,Flexible,4.1,Quality Control Certified
2089,Quality Inspection,High,2,Module Assembly,Night,3.3,Certified BMS Engineer
2090,BMS Integration,Medium,2,Final Testing,Flexible,4.2,None
2091,Welding,Low,7,Cell Assembly,Night,4.6,None
2092,BMS Integration,High,7,Module Assembly,Flexible,3.1,None
2093,Robotics,High,4,Final Testing,Morning,3.6,None
2094,Soldering,High,8,Module Assembly,Flexible,4,None
